Ten-Year Age Groups,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
55-64 years,2014,415,40077581,1,1,1,0
55-64 years,2015,478,40877819,1,1,1,0
55-64 years,2016,515,41463144,1,1,1,0
55-64 years,2017,531,41995658,1,1,1,0
55-64 years,2018,613,42272636,1,1,2,0
55-64 years,2019,564,42448537,1,1,1,0
55-64 years,2020,1295,42403677,3,3,3,0
65-74 years,1999,808,18418909,4,4,5,0
65-74 years,2000,828,18390986,4,4,5,0
65-74 years,2001,809,18384179,4,4,5,0
65-74 years,2002,855,18388535,5,4,5,0
65-74 years,2003,866,18500915,5,4,5,0
65-74 years,2004,861,18667533,5,4,5,0
65-74 years,2005,875,18881697,5,4,5,0
65-74 years,2006,954,19203027,5,5,5,0
65-74 years,2007,1058,19698727,5,5,6,0
65-74 years,2008,759,20505679,4,3,4,0
65-74 years,2009,764,21233099,4,3,4,0
65-74 years,2010,805,21713429,4,3,4,0
65-74 years,2011,910,22481738,4,4,4,0
65-74 years,2012,979,23985392,4,4,4,0
65-74 years,2013,1085,25216766,4,4,5,0
65-74 years,2014,1168,26398290,4,4,5,0
65-74 years,2015,1319,27550517,5,5,5,0
65-74 years,2016,1402,28630330,5,5,5,0
65-74 years,2017,1525,29683446,5,5,5,0
65-74 years,2018,1590,30492316,5,5,5,0
65-74 years,2019,1680,31483433,5,5,6,0
65-74 years,2020,3836,32549398,12,11,12,0
75-84 years,1999,2839,12224914,23,22,24,0
75-84 years,2000,2954,12361180,24,23,25,0
75-84 years,2001,2966,12593618,24,23,24,0
75-84 years,2002,3115,12764864,24,24,25,0
75-84 years,2003,3211,12896438,25,24,26,0
75-84 years,2004,3137,12989903,24,23,25,0
75-84 years,2005,3420,13074802,26,25,27,0
75-84 years,2006,3326,13095151,25,25,26,0
75-84 years,2007,3323,13087439,25,25,26,0
75-84 years,2008,2524,13076102,19,19,20,0
75-84 years,2009,2485,13022775,19,18,20,0
75-84 years,2010,2571,13061122,20,19,20,0
75-84 years,2011,2731,13175230,21,20,22,0
75-84 years,2012,2727,13272634,21,20,21,0
75-84 years,2013,2881,13446519,21,21,22,0
75-84 years,2014,2882,13682690,21,20,22,0
75-84 years,2015,3106,13923174,22,22,23,0
75-84 years,2016,2895,14233534,20,20,21,0
75-84 years,2017,3259,14706551,22,21,23,0
75-84 years,2018,3413,15394374,22,21,23,0
75-84 years,2019,3436,15969872,22,21,22,0
75-84 years,2020,6980,16451547,42,41,43,1
85+ years,1999,4133,4154018,99,96,103,2
85+ years,2000,4219,4239587,100,97,103,2
85+ years,2001,4402,4312494,102,99,105,2
85+ years,2002,4741,4368808,109,105,112,2
85+ years,2003,4871,4466176,109,106,112,2
85+ years,2004,4652,4545883,102,99,105,2
85+ years,2005,5184,4693299,110,107,113,2
85+ years,2006,5020,4865929,103,100,106,1
85+ years,2007,5021,5039545,100,97,102,1
85+ years,2008,4837,5195840,93,90,96,1
85+ years,2009,4510,5367301,84,82,86,1
85+ years,2010,4909,5493433,89,87,92,1
85+ years,2011,5252,5737173,92,89,94,1
85+ years,2012,5380,5887330,91,89,94,1
85+ years,2013,5698,6040789,94,92,97,1
85+ years,2014,5352,6162231,87,85,89,1
85+ years,2015,5847,6287161,93,91,95,1
85+ years,2016,5716,6380331,90,87,92,1
85+ years,2017,6038,6468682,93,91,96,1
85+ years,2018,6002,6544503,92,89,94,1
85+ years,2019,5636,6604958,85,83,88,1
85+ years,2020,9310,6658420,140,137,143,1
